,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21722,Kepler-1573,b,1.2,,,,2.6157554,,,1.0,5808.0,1.01,rocky
21723,Kepler-1574,b,,,,,6.9424927,,,1.22,5710.0,1.02,?
21724,Kepler-1575,b,,,,,2.55315299,,,0.98,5701.0,1.02,?
21725,Kepler-1576,b,,,,,6.98472143,,,0.96,5674.51,1.01,?
21726,Kepler-1254,c,1.36,,,0.0422,3.60082855,0.0,,0.8,4838.0,0.77,rocky
21727,Kepler-1577,b,2.65,,,0.0657,6.30560247,0.0,,1.76,4934.0,0.95,icy
21728,Kepler-1578,b,1.045,,,,,,,0.89,6050.0,,rocky
21729,Kepler-1578,b,,,,,1.45088984,,,0.89,5569.0,0.98,?
21730,Kepler-1336,c,,,,,5.77721259,,,1.82,5449.27,0.95,?
21731,Kepler-404,c,1.72,,,0.118,14.751166,,,0.88,5654.0,,rocky
21732,Kepler-446,d,1.35,,,,5.148921,0.0,M4,0.24,3359.0,0.22,rocky
21733,Kepler-446,d,1.14,,,,,,,0.22,3359.0,,rocky
21734,Kepler-446,d,,,,,5.14892346,,,0.22,3386.0,0.19,?
21735,Kepler-1370,c,1.33,,,0.0767,7.44136102,0.0,,1.29,5937.0,1.08,rocky
21736,Kepler-1391,b,,,,,54.40946555,,,1.78,5579.13,0.98,?
21737,Kepler-1391,b,1.48,,,0.281,54.40972,0.0,,0.9,5885.0,1.0,rocky
21738,Kepler-65,c,2.571,,,,5.8599408,0.08,,1.51,6149.0,1.17,icy
21739,K2-133,c,1.48,,,0.045,4.8682,,M1 V,0.47,3655.0,0.51,rocky
21740,Kepler-1521,b,2.5,,,,47.14840805,,,0.76,5042.0,0.81,icy
